title,author,link
Поезд убийц,Котаро Исака,https://eksmo.ru/book/poezd-ubiyts-ITD1136623/
Кузнечик,Котаро Исака,https://eksmo.ru/book/kuznechik-ITD1295268/
Норвежский лес,Харуки Мураками,https://eksmo.ru/book/norvezhskiy-les-ITD908812/
Токийский Зодиак,Содзи Симада,https://eksmo.ru/book/tokiyskiy-zodiak-ITD915519/
Лето злых духов Убумэ,Нацухико Кёгоку,https://eksmo.ru/book/leto-ubume-ITD1247673/
Признания,Канаэ Минато,https://eksmo.ru/book/priznaniya-ITD1335742/
Пятьдесят слов дождя,Аша Лемми,https://eksmo.ru/book/pyatdesyat-slov-dozhdya-ITD1246371/
Убийство в городе без имени,Кэйго Хигасино,https://eksmo.ru/book/chernyy-shoumen-i-ubiystvo-v-bezymyannom-gorode-ITD1319965/
BECK. Восточная Ударная Группа. Книга 1,Харольд Сакуиси,https://eksmo.ru/book/beck-vostochnaya-udarnaya-gruppa-kniga-1-ITD1092730/
GTO. Крутой учитель Онидзука. Книга 2,Тору Фудзисава,https://eksmo.ru/book/gto-krutoy-uchitel-onidzuka-kniga-2-ITD1234944/
"Прощайте, горе-учитель. Книга 1",Кодзи Кумэта,https://eksmo.ru/book/proshchayte-gore-uchitel-kniga-1-ITD1211959/
